(-0.13875727571288746,0.42705098312484224) (-0.2775145514257751,0.4721359549995795) (-0.22451398828979244,0.3090169943749477) stop stop stop stop stop 
(-0.7265425280053613,-0.09016994374947412) (-0.7265425280053615,-0.14589803375031551) (-0.7592986774462835,-0.19098300562505255) (-0.8652998037182492,-0.19098300562505233) (-0.8652998037182494,-0.04508497187473688) (-0.8122992405822667,-0.027864045000420598) (-0.8980559531591715,-0.09016994374947393) stop 
(-0.8122992405822663,-0.11803398874989462) (-0.726542528005361,0.0) (-0.6407858154284565,-0.11803398874989508) stop stop stop stop stop 
(-0.8122992405822663,-0.11803398874989462) (-0.6407858154284565,-0.11803398874989508) (-0.6735419648693787,-0.2188470506254735) stop stop stop stop stop 
(-0.7265425280053613,-0.09016994374947412) (-0.8122992405822667,-0.027864045000420598) (-0.7795430911413443,0.07294901687515763) (-0.6407858154284559,-0.027864045000419807) (-0.6735419648693782,0.07294901687515867) stop stop stop 
(-0.7265425280053613,-0.09016994374947412) (-0.7265425280053615,-0.14589803375031551) (-0.5877852522924738,-0.19098300562505294) (-0.5877852522924731,-0.04508497187473651) (-0.6407858154284559,-0.027864045000419807) stop stop stop 
(-0.6407858154284565,-0.11803398874989508) (-0.6735419648693787,-0.2188470506254735) (-0.5347846891564904,-0.11803398874989418) (-0.5877852522924726,-0.2811529493745272) (-0.5020285397155673,-0.21884705062547266) stop stop stop 
(-0.8122992405822663,-0.11803398874989462) (-0.8122992405822665,-0.26393202250021014) (-0.6735419648693787,-0.2188470506254735) stop stop stop stop stop 
(-0.7592986774462835,-0.19098300562505255) (-0.8652998037182492,-0.19098300562505233) (-0.7265425280053605,-0.2917960675006312) (-0.8122992405822655,-0.3541019662496846) stop stop stop stop 
(-0.7265425280053615,-0.14589803375031551) (-0.5877852522924738,-0.19098300562505294) (-0.7592986774462835,-0.19098300562505255) (-0.6735419648693777,-0.3090169943749477) (-0.7265425280053605,-0.2917960675006312) stop stop stop 
(-0.8122992405822663,-0.11803398874989462) (-0.8122992405822665,-0.26393202250021014) (-0.8652998037182493,-0.2811529493745265) (-0.9510565162951546,-0.1631189606246315) (-0.9510565162951548,-0.2188470506254726) stop stop stop 
(-0.8652998037182492,-0.19098300562505233) (-0.8122992405822655,-0.3541019662496846) stop stop stop stop stop stop 
(-0.8122992405822663,-0.11803398874989462) (-0.8652998037182491,0.0450849718747374) (-0.9510565162951543,-0.017220926874316145) stop stop stop stop stop 
(-0.8122992405822663,-0.11803398874989462) (-0.726542528005361,0.0) (-0.8652998037182491,0.0450849718747374) stop stop stop stop stop 
(-0.8652998037182494,-0.04508497187473688) (-0.8122992405822667,-0.027864045000420598) (-0.9510565162951538,0.07294901687515827) (-0.8122992405822663,0.11803398874989493) (-0.7795430911413443,0.07294901687515763) stop stop stop 
(-0.8652998037182491,0.0450849718747374) (-0.9510565162951543,-0.017220926874316145) (-0.9510565162951538,0.16311896062463238) (-0.8980559531591711,0.14589803375031563) stop stop stop stop 
(-0.8122992405822663,-0.11803398874989462) (-0.9510565162951546,-0.1631189606246315) (-0.9510565162951543,-0.017220926874316145) stop stop stop stop stop 
(-0.8652998037182492,-0.19098300562505233) (-0.8980559531591715,-0.09016994374947393) stop stop stop stop stop stop 
(-0.8652998037182492,-0.19098300562505233) stop stop stop stop stop stop stop 
(-0.8652998037182494,-0.04508497187473688) (-0.9510565162951538,0.07294901687515827) (-0.8980559531591715,-0.09016994374947393) stop stop stop stop stop 
(-0.9510565162951538,0.07294901687515827) (-0.8980559531591708,0.2360679774997899) stop stop stop stop stop stop 
(-0.9510565162951538,0.07294901687515827) (-0.8122992405822663,0.11803398874989493) (-0.8980559531591708,0.2360679774997899) stop stop stop stop stop 
(-0.8652998037182491,0.0450849718747374) (-0.8980559531591711,0.14589803375031563) (-0.7265425280053607,0.14589803375031654) (-0.8122992405822654,0.20820393249937033) stop stop stop stop 
(-0.9510565162951538,0.16311896062463238) (-0.8980559531591711,0.14589803375031563) (-0.9510565162951533,0.30901699437494756) (-0.8122992405822654,0.20820393249937033) (-0.8122992405822653,0.2639320225002115) stop stop stop 
(-0.8980559531591708,0.2360679774997899) (-0.8652998037182486,0.33688103937536773) stop stop stop stop stop stop 
(-0.726542528005361,0.0) (-0.8652998037182491,0.0450849718747374) (-0.7265425280053607,0.14589803375031654) stop stop stop stop stop 
(-0.5877852522924731,-0.04508497187473651) (-0.6407858154284559,-0.027864045000419807) (-0.5347846891564902,-0.027864045000419887) (-0.502028539715568,0.07294901687515834) (-0.6735419648693782,0.07294901687515867) (-0.6407858154284559,0.11803398874989568) (-0.5877852522924729,0.13525491562421244) stop 
(-0.6407858154284565,-0.11803398874989508) (-0.5877852522924729,0.045084971874737714) (-0.5347846891564904,-0.11803398874989418) stop stop stop stop stop 
(-0.726542528005361,0.0) (-0.6407858154284565,-0.11803398874989508) (-0.5877852522924729,0.045084971874737714) stop stop stop stop stop 
(-0.5877852522924729,0.045084971874737714) (-0.44902797657958543,5.273559366969494e-16) (-0.5347846891564904,-0.11803398874989418) stop stop stop stop stop 
(-0.5347846891564902,-0.027864045000419887) (-0.502028539715568,0.07294901687515834) (-0.36327126400268034,-0.027864045000420265) (-0.4490279765795853,-0.09016994374947382) stop stop stop stop 
(-0.5877852522924729,0.045084971874737714) (-0.44902797657958543,5.273559366969494e-16) (-0.4162718271386633,0.0450849718747376) (-0.5020285397155679,0.16311896062463271) (-0.44902797657958515,0.145898033750316) stop stop stop 
(-0.502028539715568,0.07294901687515834) (-0.3632712640026803,0.11803398874989512) (-0.36327126400268034,-0.027864045000420265) stop stop stop stop stop 
(-0.4162718271386633,0.0450849718747376) (-0.44902797657958515,0.145898033750316) (-0.3102707008666975,0.04508497187473735) (-0.3632712640026803,0.20820393249936817) (-0.27751455142577536,0.14589803375031443) stop stop stop 
(-0.5877852522924738,-0.19098300562505294) (-0.5877852522924731,-0.04508497187473651) (-0.5347846891564902,-0.027864045000419887) (-0.4490279765795853,-0.145898033750315) (-0.4490279765795853,-0.09016994374947382) stop stop stop 
(-0.726542528005361,0.0) (-0.5877852522924729,0.045084971874737714) (-0.7265425280053607,0.14589803375031654) stop stop stop stop stop 
(-0.5877852522924729,0.045084971874737714) (-0.7265425280053607,0.14589803375031654) (-0.6407858154284554,0.2082039324993703) stop stop stop stop stop 
(-0.8122992405822663,0.11803398874989493) (-0.7795430911413443,0.07294901687515763) (-0.6735419648693782,0.07294901687515867) (-0.6407858154284559,0.11803398874989568) (-0.7265425280053603,0.23606797749979075) stop stop stop 
(-0.7265425280053607,0.14589803375031654) (-0.8122992405822654,0.20820393249937033) (-0.8122992405822653,0.2639320225002115) (-0.6407858154284554,0.2082039324993703) (-0.6735419648693779,0.3090169943749467) (-0.7795430911413438,0.3090169943749471) stop stop 
(-0.8122992405822663,0.11803398874989493) (-0.8980559531591708,0.2360679774997899) (-0.7265425280053603,0.23606797749979075) stop stop stop stop stop 
(-0.8980559531591708,0.2360679774997899) (-0.7265425280053603,0.23606797749979075) (-0.8652998037182486,0.33688103937536773) stop stop stop stop stop 
(-0.5877852522924729,0.045084971874737714) (-0.5020285397155679,0.16311896062463271) (-0.6407858154284554,0.2082039324993703) stop stop stop stop stop 
(-0.502028539715568,0.07294901687515834) (-0.5877852522924729,0.13525491562421244) (-0.4490279765795851,0.23606797749978897) (-0.5550291028515509,0.23606797749978864) stop stop stop stop 
(-0.6407858154284559,0.11803398874989568) (-0.7265425280053603,0.23606797749979075) (-0.5877852522924729,0.13525491562421244) (-0.5877852522924732,0.28115294937452595) (-0.5550291028515509,0.23606797749978864) stop stop stop 
(-0.502028539715568,0.07294901687515834) (-0.3632712640026803,0.11803398874989512) (-0.4490279765795851,0.23606797749978897) stop stop stop stop stop 
(-0.27751455142577547,1.249000902703301e-16) (-0.3102707008666975,0.04508497187473735) (-0.22451398828979255,-0.01722092687431639) (-0.13875727571288754,0.04508497187473718) (-0.27751455142577536,0.14589803375031443) (-0.22451398828979252,0.16311896062463088) (-0.17151342515380966,0.14589803375031446) stop 
